HOUR_OF_THE_DAY,NUM,ACCESO
00,84,Recepcion
00,121,Expedicion
01,53,Recepcion
01,220,Expedicion
02,97,Recepcion
02,227,Expedicion
03,147,Recepcion
03,429,Expedicion
04,234,Recepcion
04,664,Expedicion
05,213,Expedicion
05,345,Recepcion
06,25,Expedicion
06,518,Recepcion
07,44,Expedicion
07,591,Recepcion
08,46,Expedicion
08,623,Recepcion
09,49,Expedicion
09,449,Recepcion
10,42,Expedicion
10,322,Recepcion
11,64,Expedicion
11,188,Recepcion
12,50,Expedicion
12,124,Recepcion
13,63,Recepcion
13,73,Expedicion
14,48,Recepcion
14,171,Expedicion
15,66,Recepcion
15,259,Expedicion
16,31,Recepcion
16,164,Expedicion
17,15,Recepcion
17,145,Expedicion
18,20,Recepcion
18,112,Expedicion
19,40,Recepcion
19,76,Expedicion
20,19,Recepcion
20,36,Expedicion
21,27,Expedicion
21,72,Recepcion
22,48,Expedicion
22,106,Recepcion
23,27,Expedicion
23,89,Recepcion
