NUMITEMS,MMDDHH,TYPEITEMS
3,00,DENTRONULLS
1,00,FUERANULLS
4,01,DENTRONULLS
6,02,DENTRONULLS
6,02,FUERANULLS
3,03,DENTRONULLS
16,03,FUERANULLS
14,04,FUERANULLS
5,05,DENTRONULLS
4,05,FUERANULLS
5,06,DENTRONULLS
5,06,FUERANULLS
12,07,DENTRONULLS
11,07,FUERANULLS
6,08,DENTRONULLS
11,08,FUERANULLS
12,09,DENTRONULLS
10,09,FUERANULLS
6,10,DENTRONULLS
12,10,FUERANULLS
6,11,DENTRONULLS
6,11,FUERANULLS
5,12,DENTRONULLS
8,12,FUERANULLS
4,13,FUERANULLS
4,14,DENTRONULLS
3,14,FUERANULLS
9,15,DENTRONULLS
3,15,FUERANULLS
6,16,DENTRONULLS
5,16,FUERANULLS
7,17,DENTRONULLS
5,17,FUERANULLS
6,18,DENTRONULLS
6,18,FUERANULLS
4,19,DENTRONULLS
5,19,FUERANULLS
2,20,DENTRONULLS
4,20,FUERANULLS
3,21,DENTRONULLS
3,21,FUERANULLS
4,22,DENTRONULLS
3,22,FUERANULLS
4,23,DENTRONULLS
3,23,FUERANULLS
