id;tag;diff_stu
1;2015_3_16_10;0,23
2;2015_3_16_13;2,16
3;2015_3_16_9;1,27222222222222
4;2015_3_17_11;0,99
5;2015_3_17_12;-1,08
6;2015_3_17_9;0,755555555555556
7;2015_4_20_11;0,116315789473684
8;2015_4_20_13;-0,263333333333333
9;2015_4_20_9;0,474285714285714
10;2015_4_22_10;0,935454545454545
11;2015_4_22_13;0,902727272727273
12;2015_4_22_8;2,98272727272727
13;2015_4_28_12;-0,6875
14;2015_4_29_10;-0,04
15;2015_4_29_13;-0,772727272727273
16;2015_4_29_8;2,18181818181818
17;2015_4_30_10;-1,84
18;2015_4_30_13;1,25666666666667
19;2015_4_30_9;-0,315555555555556
20;2015_5_4_11;1,52368421052632
21;2015_5_4_13;-1,04666666666667
22;2015_5_4_9;0,02
23;2015_5_5_12;0,488181818181818
24;2015_5_8_11;1,32095238095238
25;2015_5_8_13;0,414444444444444
26;2015_5_8_9;0,5425
