"diasemana","numsesion","edad","numestudiantes","percchicas","percchicos","objective_noise","teacher_noise","students_noise","teacher_aprendido","students_aprendido"
"diasemana",1,-0.03,-0.04,-0.29,0.41,-0.41,-0.28,-0.2,-0.31,0.12,0.24
"numsesion",-0.03,1,0.54,-0.3,-0.12,0.11,0.37,0.19,0.2,-0.22,-0.37
"edad",-0.04,0.54,1,-0.59,-0.46,0.46,0.36,-0.17,0.02,0.23,0.16
"numestudiantes",-0.29,-0.3,-0.59,1,-0.16,0.16,0.34,0.2,0.37,-0.41,-0.46
"percchicas",0.41,-0.12,-0.46,-0.16,1,-1,-0.48,0.09,-0.26,0.02,0.21
"percchicos",-0.41,0.11,0.46,0.16,-1,1,0.48,-0.09,0.26,-0.01,-0.21
"objective_noise",-0.28,0.37,0.36,0.34,-0.48,0.48,1,0.26,0.65,-0.18,-0.46
"teacher_noise",-0.2,0.19,-0.17,0.2,0.09,-0.09,0.26,1,0.57,-0.6,-0.38
"students_noise",-0.31,0.2,0.02,0.37,-0.26,0.26,0.65,0.57,1,-0.55,-0.67
"teacher_aprendido",0.12,-0.22,0.23,-0.41,0.02,-0.01,-0.18,-0.6,-0.55,1,0.43
"students_aprendido",0.24,-0.37,0.16,-0.46,0.21,-0.21,-0.46,-0.38,-0.67,0.43,1
